Date,Open,High,Low,Close,Adj Close,Volume
2001-11-14,23.850000381469727,24.100000381469727,22.975000381469727,23.049999237060547,15.621255874633789,9838200
2001-11-15,22.075000762939453,22.18000030517578,21.049999237060547,21.59000015258789,14.631803512573242,21840400
2001-11-16,22.0,22.549999237060547,21.75,22.549999237060547,15.28239631652832,14014000
2001-11-19,22.100000381469727,22.975000381469727,21.850000381469727,22.46500015258789,15.224793434143066,11202200
2001-11-20,23.450000762939453,24.049999237060547,23.31999969482422,23.93000030517578,16.217641830444336,11195600
2001-11-21,23.93000030517578,24.174999237060547,23.25,23.604999542236328,15.997396469116211,8175800
2001-11-23,23.225000381469727,23.854999542236328,22.899999618530273,23.739999771118164,16.088878631591797,3684200
2001-11-26,23.405000686645508,23.469999313354492,22.975000381469727,23.149999618530273,15.6890287399292,7358800
2001-11-27,23.149999618530273,23.9950008392334,22.825000762939453,23.610000610351562,16.000776290893555,8964200
2001-11-28,23.25,23.985000610351562,22.975000381469727,23.399999618530273,15.858457565307617,6449400
2001-11-29,23.395000457763672,24.149999618530273,23.079999923706055,24.0,16.265085220336914,5320200
2001-11-30,23.899999618530273,24.290000915527344,23.540000915527344,24.0049991607666,16.268474578857422,5615800
2001-12-03,23.84000015258789,25.0,23.635000228881836,24.71500015258789,16.749649047851562,8260600
2001-12-04,24.75,25.469999313354492,24.5,25.325000762939453,17.163049697875977,9275800
2001-12-05,25.899999618530273,26.850000381469727,25.885000228881836,26.700000762939453,18.094907760620117,14684600
2001-12-06,26.399999618530273,26.549999237060547,25.975000381469727,26.1299991607666,17.708614349365234,10384800
2001-12-07,25.975000381469727,26.549999237060547,25.125,26.395000457763672,17.888208389282227,8752800
2001-12-10,26.03499984741211,26.375,25.610000610351562,25.71500015258789,17.4273624420166,7966600
2001-12-11,25.700000762939453,25.940000534057617,25.28499984741211,25.5049991607666,17.285032272338867,4724800
2001-12-12,25.5,25.625,24.899999618530273,25.625,17.366376876831055,5775200
2001-12-13,24.950000762939453,25.709999084472656,24.899999618530273,25.420000076293945,17.22743797302246,5088000
2001-12-14,25.540000915527344,26.174999237060547,25.100000381469727,26.0,17.620515823364258,4821200
2001-12-17,25.850000381469727,26.450000762939453,25.674999237060547,25.690000534057617,17.410423278808594,5694200
2001-12-18,25.690000534057617,26.34000015258789,25.475000381469727,25.899999618530273,17.552743911743164,6786400
2001-12-19,26.0,26.729999542236328,25.954999923706055,26.709999084472656,18.101682662963867,8081200
2001-12-20,26.975000381469727,26.9950008392334,25.975000381469727,25.985000610351562,17.6103458404541,6701600
2001-12-21,25.885000228881836,26.225000381469727,25.524999618530273,26.1299991607666,17.77290153503418,7371200
2001-12-24,26.399999618530273,26.850000381469727,26.2549991607666,26.549999237060547,18.058584213256836,1729000
2001-12-26,26.690000534057617,28.045000076293945,26.690000534057617,27.975000381469727,19.0278263092041,6259600
2001-12-27,27.799999237060547,27.8700008392334,27.155000686645508,27.7549991607666,18.87818145751953,5963000
2001-12-28,28.0,28.375,27.3700008392334,27.489999771118164,18.697927474975586,5731000
2001-12-31,27.540000915527344,27.69499969482422,27.049999237060547,27.475000381469727,18.687734603881836,5351600
2002-01-02,27.475000381469727,27.475000381469727,26.3799991607666,26.71500015258789,18.170804977416992,7632400
2002-01-03,26.59000015258789,26.885000228881836,26.375,26.739999771118164,18.187808990478516,6227200
2002-01-04,26.799999237060547,27.549999237060547,26.424999237060547,27.149999618530273,18.46668243408203,6032000
2002-01-07,26.905000686645508,27.545000076293945,26.81999969482422,27.19499969482422,18.497291564941406,4957000
2002-01-08,26.950000762939453,27.0,26.5,26.559999465942383,18.065372467041016,3998000
2002-01-09,26.200000762939453,26.559999465942383,25.924999237060547,26.475000381469727,18.007564544677734,7777000
2002-01-10,26.450000762939453,26.5049991607666,25.860000610351562,26.274999618530273,17.871530532836914,5048600
2002-01-11,25.875,26.125,25.524999618530273,25.709999084472656,17.48723030090332,6780800
2002-01-14,25.375,25.645000457763672,25.135000228881836,25.405000686645508,17.2797794342041,5029000
2002-01-15,25.405000686645508,26.06999969482422,25.405000686645508,25.8799991607666,17.602861404418945,4458000
